time(s)	[MKKK]	[MKKK-P]	[MKK]	[MKK-P]	[MKK-PP]	[MAPK]	[MAPK-P]	[MAPK-PP]
0.0	78.26	NaN	NaN	NaN	4.12	267.48	23.21	28.30
121.6	NaN	92.02	175.39	70.12	49.18	256.77	23.25	30.75
243.2	29.26	85.27	69.60	93.77	139.36	148.42	90.28	97.34
364.9	28.74	45.88	40.56	90.50	181.80	31.84	73.15	230.27
486.5	53.41	45.84	30.40	67.74	190.92	8.61	NaN	255.33
608.1	84.08	39.67	15.51	59.64	175.18	NaN	38.65	284.02
729.7	70.13	8.26	52.71	85.84	155.28	NaN	39.41	257.00
851.4	74.96	10.25	77.67	82.95	122.86	3.43	56.78	242.04
973.0	NaN	10.14	101.09	113.77	93.59	NaN	14.04	277.60
1094.6	94.69	NaN	136.43	84.18	86.48	28.65	52.20	223.39
1216.2	84.74	20.21	NaN	85.84	NaN	56.70	70.09	175.75
1337.8	86.85	11.85	207.11	90.61	18.81	77.41	74.78	134.12
1459.5	97.41	NaN	230.70	64.79	13.92	117.76	89.73	84.33
1581.1	86.53	19.51	232.40	46.35	16.71	NaN	100.55	23.80
1702.7	55.74	52.41	206.47	64.68	30.92	192.81	72.42	23.39
1824.3	47.71	57.29	151.55	108.67	67.26	NaN	89.28	53.74
1945.9	58.75	53.01	108.81	NaN	109.16	110.71	113.38	103.14
2067.6	57.61	41.47	94.86	83.46	108.22	NaN	81.53	153.67
2189.2	73.12	31.28	111.17	100.52	111.11	18.75	58.06	207.09
2310.8	77.36	1.16	124.60	110.16	84.16	32.46	43.02	218.14
2432.4	NaN	2.30	122.98	80.06	48.81	25.15	60.68	207.07
2554.1	80.34	2.55	183.91	91.12	40.43	61.73	69.18	159.61
2675.7	NaN	NaN	185.37	74.28	44.16	67.26	87.90	138.61
2797.3	87.47	NaN	247.91	63.26	15.10	107.39	93.86	106.19
2918.9	86.26	17.47	235.40	42.41	NaN	151.64	81.75	35.67
3040.5	76.78	37.03	212.73	38.53	31.29	193.75	63.90	38.68
3162.2	57.55	59.89	146.31	67.50	47.48	193.27	73.30	57.25
3283.8	49.88	50.37	117.11	112.27	106.18	124.63	94.00	89.34
3405.4	74.05	27.23	116.80	95.65	111.53	68.53	NaN	152.98
3527.0	63.31	24.15	96.51	88.51	110.15	NaN	77.27	187.70
3648.6	98.74	8.24	110.37	113.95	76.80	27.36	62.97	204.87
3770.3	NaN	19.07	124.96	105.03	59.09	44.46	65.91	184.84
3891.9	93.49	NaN	155.12	78.20	52.10	48.97	89.60	168.41
4013.5	98.64	14.61	190.49	85.67	41.63	100.08	116.15	124.19
4135.1	NaN	12.39	224.42	71.87	18.86	120.07	105.36	79.28
4256.8	81.71	22.96	209.81	43.73	NaN	154.79	95.52	65.89
4378.4	71.40	28.25	220.58	65.26	25.48	190.47	76.05	33.36
4500.0	57.91	51.36	159.59	76.00	63.01	168.14	80.07	52.06
4621.6	58.95	NaN	129.77	105.90	NaN	101.46	100.65	91.94
4743.2	51.22	18.03	102.72	83.79	NaN	63.84	86.92	136.46
4864.9	73.20	28.36	99.58	94.16	93.90	37.62	59.27	170.07
4986.5	64.20	19.71	124.56	106.76	82.23	37.73	71.48	187.11
5108.1	86.37	1.82	148.61	93.50	46.54	28.71	NaN	193.71
5229.7	85.11	19.61	193.15	91.54	45.76	46.29	86.98	159.25
5351.4	93.20	NaN	186.67	90.56	28.30	78.96	84.96	130.19
5473.0	96.02	3.63	215.45	54.19	24.06	113.71	83.04	75.57
5594.6	91.57	13.04	217.47	40.68	NaN	194.47	72.12	33.04
5716.2	61.03	29.98	201.09	79.05	NaN	194.03	78.18	35.65
5837.8	51.23	42.23	151.77	77.96	67.35	161.86	101.67	61.67
5959.5	67.55	48.14	113.15	97.04	115.90	112.24	98.15	98.95
6081.1	81.69	22.75	98.01	91.18	93.06	68.15	95.85	152.09
6202.7	80.59	22.42	101.55	82.02	104.40	41.55	75.21	187.44
6324.3	95.05	9.52	121.15	87.74	72.63	41.73	70.43	213.18
6445.9	83.37	NaN	153.10	106.77	48.86	45.52	98.79	195.13
6567.6	NaN	26.63	189.05	78.92	27.58	43.90	77.27	150.32
6689.2	87.07	0.29	201.19	NaN	31.32	83.28	93.43	99.53
6810.8	82.96	18.27	244.66	59.88	18.12	143.65	88.24	62.58
6932.4	85.37	20.67	237.62	65.18	27.86	170.74	NaN	46.39
7054.1	58.21	41.44	211.37	68.06	32.96	192.63	77.41	23.90
7175.7	34.54	28.86	137.85	82.75	54.07	164.83	80.89	52.61
7297.3	70.37	51.64	94.41	85.76	89.64	85.33	104.86	105.59
7418.9	77.52	31.39	106.31	103.71	98.74	51.56	77.13	155.83
7540.5	97.29	NaN	113.26	76.59	98.27	28.80	73.16	188.18
7662.2	90.27	13.21	NaN	84.75	61.97	17.81	70.91	195.54
7783.8	99.08	7.17	138.68	99.16	34.97	47.75	NaN	174.34
7905.4	NaN	25.35	186.84	85.46	40.90	56.35	93.56	132.81
8027.0	NaN	NaN	220.73	53.48	15.12	93.78	96.48	112.54
8148.6	NaN	4.47	242.08	60.57	12.06	127.18	79.79	55.27
8270.3	71.90	26.86	215.72	59.11	26.24	NaN	66.14	50.29
8391.9	48.34	63.82	195.11	58.22	40.78	192.41	81.23	33.56
8513.5	62.57	50.62	145.75	87.38	74.29	163.89	80.45	61.57
8635.1	49.43	50.32	109.51	112.36	107.02	72.35	94.63	132.22
8756.8	74.02	35.49	92.20	NaN	110.06	48.09	75.02	174.13
8878.4	80.28	25.85	101.20	84.30	88.82	38.02	72.25	192.91
9000.0	96.97	25.21	NaN	97.96	64.90	45.64	72.21	186.82
